Stress_Level,Sector,Increased_Work_Hours,Work_From_Home,Hours_Worked_Per_Day,Meetings_Per_Day,Productivity_Change,Health_Issue,Job_Security,Childcare_Responsibilities,Commuting_Changes,Technology_Adaptation,Salary_Changes,Team_Collaboration_Challenges,Affected_by_Covid
Medium,Education,1,0,9.284.242.007.753.160,51.872.916.050.916.500,1,0,1,0,1,0,0,1,1
Medium,Retail,0,1,6.480.696.478.333.240,4.817.764.263.446.390,1,0,0,1,0,1,0,1,1
High,IT,0,1,5.952.531.109.444.360,3.072.353.249.208.190,0,0,1,1,0,1,0,1,1
Medium,Education,1,1,10.034.348.428.340.300,30.248.064.348.592.700,1,0,0,1,0,1,0,0,1
High,Retail,0,1,601.827.849.196.657,51.931.067.098.614,1,0,1,0,1,0,0,0,1
High,IT,1,1,6.786.672.118.498.860,5.217.998.398.325.090,0,0,0,0,0,1,0,1,1
High,Retail,1,1,9.774.617.924.919.490,37.420.075.218.521.600,1,0,0,1,0,1,1,0,1
High,Healthcare,0,1,8.069.482.467.078.040,33.607.421.386.514.700,0,0,0,0,0,1,0,1,1
Medium,IT,1,1,4.405.712.664.741.790,575.087.064.016.855,0,0,0,1,1,1,0,1,1
High,Education,1,0,11.494.118.289.107.000,346.007.700.278.013,1,0,1,0,0,1,0,0,1
High,Education,1,1,6.939.978.482.440.060,5.118.898.336.785.670,1,0,0,0,1,1,0,1,1
High,Education,1,0,7.194.485.420.187.160,37.947.352.377.128.500,0,1,1,0,1,1,0,1,1
High,IT,0,1,851.156.850.465.273,24.287.008.284.444.900,1,1,1,0,1,1,0,1,1
High,Education,1,1,9.250.153.594.008.140,6.418.468.210.035.550,0,0,0,0,1,0,0,0,1
Low,Healthcare,0,1,11.922.208.582.582.900,4.180.095.843.597.210,1,0,0,1,1,0,1,1,1
Low,Healthcare,1,1,4.679.863.701.188.600,29.338.840.301.678.700,1,0,0,0,0,1,0,1,1
Low,Retail,1,1,9.651.904.417.851.890,1.913.791.498.337.190,1,1,1,1,0,1,1,1,1
Low,IT,1,0,9.486.019.388.100.150,206.499.880.264.475,1,0,0,0,0,0,0,0,1
Low,Education,1,1,7.725.670.178.251.760,3.440.632.893.858.090,1,0,0,0,1,0,0,0,1
Low,IT,0,1,9.574.547.389.632.440,6.887.693.325.300.380,1,1,0,1,1,0,1,0,1
High,Healthcare,1,1,9.868.548.035.273.090,3.123.007.181.988.630,0,0,1,0,1,0,0,1,1
Medium,Healthcare,1,1,5.236.074.430.025.990,6.171.182.248.519.300,0,0,0,1,1,0,0,1,1
Medium,Education,1,1,1.149.953.301.176.160,3.803.854.497.095.370,0,1,1,1,1,1,0,1,1
High,Healthcare,1,1,48.824.754.937.237.100,22.282.744.133.474.700,1,1,0,0,0,0,1,0,1
Low,Retail,1,1,5.729.367.437.522.450,3.290.183.217.324.400,1,0,1,0,0,0,0,1,1
Medium,Healthcare,1,1,7.476.424.652.751.800,20.785.181.143.938.300,1,1,1,0,0,0,0,1,1
Low,Healthcare,0,1,11.849.881.026.374.100,27.160.473.220.542.100,1,0,0,1,1,1,0,1,1
Low,Retail,0,1,7.383.486.740.493.220,26.713.779.071.861.200,1,0,0,1,0,0,1,0,1
High,Education,0,1,7.936.132.219.898.370,11.442.941.987.781.000,1,0,1,1,1,1,0,1,1
High,Education,0,1,10.864.157.207.809.100,6.269.194.103.222.080,0,0,1,1,1,0,0,0,1
High,IT,1,1,7.399.363.714.869.050,4.316.525.545.333.420,0,0,1,1,0,0,0,1,1
High,IT,0,0,5.643.126.574.138.640,29.705.823.915.728.400,0,0,1,0,0,1,1,0,1
Low,Healthcare,1,1,7.165.530.329.523.370,4.332.636.619.650.080,1,1,1,0,1,1,0,0,1
High,Retail,1,1,10.741.583.667.611.500,27.467.794.095.369.000,0,0,0,1,1,1,0,1,1
High,Education,0,0,8.141.729.994.110.270,-6.592.948.054.633.390,1,0,1,1,1,0,0,1,1
High,Retail,1,1,1.186.131.651.811.250,8.435.037.449.839.820,0,0,0,0,0,0,0,0,1
Medium,Education,0,1,947.586.985.252.431,428.439.981.501.559,0,0,0,1,0,0,0,0,1
Medium,Healthcare,1,1,6.710.382.127.213.030,31.164.804.410.278.500,1,0,0,0,1,1,0,0,1
Medium,IT,0,1,8.102.152.608.930.150,10.991.277.824.838.500,0,0,1,0,1,1,0,1,1
Medium,Retail,1,1,6.293.563.763.716.240,175.877.530.728.616,1,0,1,0,1,0,0,1,1
Medium,Retail,1,1,666.313.393.870.246,6.481.737.894.332.350,1,0,0,1,0,0,0,0,1
Low,Education,0,1,16.958.168.502.051.500,6.252.907.823.197.700,1,1,1,0,0,1,0,0,1
Medium,Healthcare,0,1,10.037.249.020.067.600,5.129.822.553.998.420,1,1,1,1,0,1,0,1,1
Medium,IT,1,1,9.722.195.978.013.340,2.327.384.442.385.270,1,0,0,0,1,0,0,0,1
Low,Retail,1,1,67.536.393.693.838.700,6.264.960.981.965.510,0,0,0,1,1,1,1,1,1
Medium,Retail,1,1,11.139.168.132.562.100,4.674.673.926.916.520,1,0,0,0,0,0,1,1,1
High,Healthcare,1,1,10.198.831.203.585.800,4.982.386.672.527.300,0,0,0,0,0,1,0,1,1
High,Retail,0,1,11.763.242.578.715.500,466.925.641.666.487,0,0,1,0,1,1,0,1,1
Medium,Retail,1,0,11.666.228.296.796.800,1.739.519.223.060.840,0,1,0,1,1,0,0,1,1
High,Healthcare,0,1,5.041.821.423.804.950,22.027.585.738.796.600,1,0,0,0,1,1,1,1,1
Low,Education,0,1,57.803.210.214.601.800,32.346.727.503.874.500,1,1,0,1,1,0,0,1,1
Low,Retail,1,1,5.992.424.369.072.720,496.545.956.129.967,1,0,0,1,0,0,0,1,1
Low,Retail,1,1,6.112.118.713.335.120,19.293.518.766.352.800,0,0,0,0,0,1,1,1,1
Medium,Retail,0,1,864.690.472.852.078,3.736.980.377.583.710,0,1,0,0,1,1,0,1,1
Medium,IT,1,0,6.866.393.095.808.360,3.735.085.734.755.420,1,0,1,0,1,1,0,1,1
Low,IT,1,1,12.145.197.081.525.000,5.189.109.533.991.360,1,1,0,0,0,1,0,0,1
Low,IT,1,1,11.809.359.764.163.200,5.012.007.303.411.490,0,0,0,1,1,1,0,0,1
High,Healthcare,1,1,7.987.076.811.841.920,24.846.611.064.218.000,0,1,1,0,0,1,1,1,1
Medium,Education,1,1,1.191.065.243.229.950,6.170.029.254.230.950,1,0,1,0,1,1,1,1,1
High,Education,0,1,10.976.269.254.480.400,2.255.140.256.874.560,0,0,1,0,0,1,1,1,1
Medium,Education,0,1,7.098.586.881.645.480,5.638.359.162.851.120,1,0,1,0,0,1,0,0,1
Medium,Education,1,0,3.981.569.311.948.870,31.747.826.524.774.000,1,0,1,0,0,1,0,0,1
High,Education,1,1,7.564.063.230.078.540,4.245.888.930.150.050,0,0,1,0,0,1,0,1,1
High,Healthcare,1,1,6.710.755.737.843.050,4.338.981.190.156.450,0,1,1,0,0,1,0,1,1
Medium,Healthcare,1,1,841.301.125.029.166,42.965.611.610.631.900,1,0,1,0,0,1,0,1,1
Low,Retail,1,1,8.178.456.573.749.490,50.117.487.976.518.500,0,0,1,1,0,1,0,1,1
Medium,Retail,1,1,8.126.035.317.798.450,4.587.189.246.900.290,0,0,0,1,1,1,1,1,1
Medium,Retail,1,1,9.047.369.482.758.320,5.175.473.694.805.800,1,1,0,1,1,1,1,0,1
Medium,Education,0,1,55.749.561.058.326.400,4.696.929.940.517.700,1,1,1,1,0,1,0,1,1
Medium,Healthcare,0,0,8.822.720.555.139.410,21.033.171.116.112.300,1,0,0,1,1,1,1,1,1
Low,Healthcare,0,1,7.120.767.693.965.980,4.404.698.611.836.980,1,0,1,0,0,1,0,1,1
Medium,IT,0,1,8.399.964.399.727.370,31.541.951.462.420.000,1,1,0,0,1,1,1,1,1
Medium,Education,1,1,991.481.969.046.438,2.336.106.283.139.070,0,0,0,0,0,1,0,1,1
High,Healthcare,1,1,5.551.200.453.557.940,35.652.401.609.840.500,1,0,1,1,0,1,0,1,1
High,IT,1,1,7.437.412.694.660.860,42.748.533.985.526.300,1,0,0,1,1,0,1,1,1
Medium,Healthcare,0,1,7.762.931.531.942.270,4.374.512.541.981.670,0,0,1,0,0,1,0,0,1
Medium,Healthcare,1,1,69.714.620.568.587.100,5.584.037.117.710.400,0,0,0,0,0,1,1,1,1
Low,IT,1,1,9.799.658.992.265.910,5.960.963.678.457.360,1,0,1,0,0,1,0,1,1
Medium,Retail,0,1,6.559.223.282.399.050,4.504.421.246.136.030,0,0,1,0,0,0,0,1,1
Low,Healthcare,0,0,6.889.199.201.115.320,4.775.659.565.514.110,1,0,0,0,1,1,0,1,1
High,Education,0,1,6.580.161.734.095.870,4.142.963.549.763.480,1,0,0,0,1,0,1,1,1
Medium,Education,0,0,10.184.110.822.877.600,51.508.381.954.743.700,1,0,0,1,0,0,0,0,1
Medium,Education,1,1,70.151.117.751.755.600,4.730.482.208.255.590,1,0,1,1,0,1,1,1,1
Medium,Retail,1,1,8.920.090.781.767.110,3.918.267.859.213.290,1,0,0,0,1,0,0,1,1
Low,IT,1,0,1.195.141.020.246.010,7.227.973.850.506.450,1,0,0,0,0,1,0,1,1
Medium,IT,1,0,7.850.363.159.298.820,3.180.724.954.837.270,1,0,1,1,1,1,0,1,1
High,IT,0,0,10.224.121.360.066.300,6.181.685.435.062.500,1,0,1,1,0,0,0,0,1
Medium,Healthcare,0,1,11.342.708.168.186.200,1.968.560.610.509.590,1,0,1,1,1,1,1,1,1
Medium,Retail,1,0,10.054.383.120.080.800,5.220.424.804.677.180,0,1,1,0,1,1,0,0,1
Medium,Healthcare,1,1,7.966.397.368.044.510,6.154.852.527.590.250,1,0,0,0,0,1,0,1,1
Medium,Healthcare,1,0,9.284.215.517.997.220,11.391.713.934.881.200,0,1,0,1,0,1,0,0,1
Medium,Retail,1,1,5.425.242.813.729.300,4.208.425.859.582.640,1,0,1,1,0,0,0,1,1
Low,Healthcare,1,1,6.439.913.683.700.090,5.073.121.061.866.060,0,0,0,0,0,1,0,1,1
Medium,Healthcare,0,1,6.790.649.636.736.160,4.377.945.406.192.090,1,0,0,1,1,1,0,0,1
High,Education,0,0,12.481.224.240.348.500,4.567.233.903.410.440,1,1,0,0,1,1,0,0,1
High,Education,1,1,6.374.830.971.489.460,4.204.334.743.564.990,1,0,0,0,1,1,0,0,1
Low,Education,1,1,6.345.046.497.476.340,2.358.628.260.457.610,1,0,1,0,1,1,0,0,1
Low,IT,1,1,59.121.580.395.020.300,7.552.068.388.233.160,1,0,0,0,1,0,0,1,1
High,Education,0,1,9.119.623.523.861.520,3.244.693.205.026.300,0,0,1,0,0,0,0,1,1
Medium,Healthcare,1,1,8.285.242.785.337.760,46.512.418.581.683.500,0,0,1,0,1,0,0,0,1
High,Healthcare,1,1,1.017.351.795.405.310,30.297.404.843.718.500,0,0,1,1,1,1,0,1,1
Medium,Healthcare,0,1,9.342.519.332.154.700,5.862.052.149.689.520,0,0,0,1,0,1,0,1,1
Medium,IT,1,1,5.239.220.306.551.860,26.132.306.893.765.400,1,1,0,0,0,1,0,1,1
Medium,Healthcare,1,1,6.385.444.459.979.250,1.828.589.961.587.290,0,0,1,1,1,1,1,1,1
Low,Retail,1,0,10.730.657.496.551.600,5.637.351.308.836.730,1,0,1,0,1,0,0,1,1
Medium,Retail,1,0,75.934.035.108.463.800,30.896.979.759.333.100,1,1,0,1,0,0,0,0,1
Low,IT,1,0,10.375.183.636.036.000,32.288.629.912.300.500,1,0,0,0,1,0,0,0,1
Medium,Education,0,1,7.700.638.104.169.360,24.035.039.310.943.900,0,0,0,1,0,0,0,1,1
High,IT,1,1,6.064.687.143.422.950,4.141.053.098.072.650,0,0,0,0,0,0,0,1,1
Medium,Retail,1,1,7.393.478.444.666.580,2.925.312.225.458.070,0,0,1,0,1,1,0,1,1
Low,Healthcare,1,0,6.063.900.408.900.600,5.488.532.096.870.180,1,0,0,0,1,0,1,1,1
High,Education,0,1,6.868.894.475.195.150,4.453.058.984.633.740,0,0,0,0,1,1,0,1,1
Low,IT,1,1,8.401.851.413.130.490,3.142.261.321.413.320,1,0,0,0,1,1,0,1,1
Medium,IT,1,1,902.321.018.073.804,5.275.349.577.755.520,1,1,1,0,0,0,0,1,1
High,Healthcare,0,1,4.819.617.353.491.400,4.011.910.784.534.850,0,1,1,0,1,1,0,0,1
Medium,Healthcare,0,1,7.965.263.984.981.800,4.032.245.358.534.920,0,1,0,0,0,0,1,1,1
High,Healthcare,1,1,6.826.768.528.880.490,18.060.476.444.021.100,1,1,0,0,1,1,0,1,1
Medium,Education,1,1,6.703.170.382.082.370,3.893.370.800.822.020,0,1,1,0,0,1,0,1,1
Medium,Retail,0,1,8.265.369.238.266.150,4.482.316.958.976.990,1,0,0,1,1,0,0,0,1
High,Retail,0,1,68.990.962.546.215.700,6.000.350.233.297.510,1,0,1,0,0,0,0,1,1
Medium,Education,1,1,10.764.275.989.693.300,2.872.159.555.145.010,0,0,1,0,1,1,0,1,1
Medium,Education,0,1,1.037.612.375.250.210,7.417.162.935.078.260,1,0,0,0,0,0,0,1,1
Medium,IT,0,1,1.036.365.658.788.400,4.835.302.475.243.470,0,0,0,0,0,1,0,0,1
Medium,Healthcare,1,0,7.010.179.609.019.390,17.208.821.859.492.800,0,0,0,0,0,1,0,1,1
Medium,Retail,1,1,6.075.002.330.161.350,27.322.028.288.716.600,1,1,1,0,0,1,0,0,1
Low,Retail,0,1,816.405.985.877.623,6.131.498.746.325.220,0,0,1,0,0,0,0,1,1
Medium,IT,1,1,76.993.032.674.274.600,5.864.843.714.443.590,0,0,1,1,0,0,0,1,1
Medium,Education,1,1,6.782.353.675.153.270,4.027.140.222.340.750,1,0,0,0,0,1,0,1,1
Low,Healthcare,0,1,5.648.531.106.666.070,4.224.876.554.586.770,0,0,0,0,0,0,1,1,1
Low,Retail,1,1,7.916.964.061.463.850,22.530.845.894.110.400,0,0,1,1,1,1,0,1,1
Medium,Retail,0,1,7.191.861.099.495.050,5.982.164.110.353.010,1,1,0,1,1,0,1,0,1
Medium,Retail,1,1,937.669.407.407.604,25.183.493.698.382.900,0,1,1,1,0,1,0,1,1
Low,Retail,0,1,9.330.212.103.042.950,52.671.116.666.851.200,1,0,1,0,0,0,0,0,1
Medium,Retail,1,1,10.201.599.610.845.400,6.028.063.552.997.700,0,1,1,1,1,1,0,1,1
Medium,Healthcare,0,1,5.481.408.896.239.920,4.072.233.331.329.260,1,0,0,0,0,1,0,1,1
High,Retail,1,0,8.802.116.615.387.260,54.514.170.491.832.900,0,0,1,1,0,1,0,0,1
Medium,Education,1,1,6.545.068.587.532.650,6.771.459.562.038.540,1,0,1,0,0,1,0,1,1
High,Education,0,1,555.917.157.837.783,4.401.953.198.816.100,0,1,1,0,0,0,0,1,1
Medium,Healthcare,0,1,714.279.552.610.258,37.370.472.753.520.800,1,0,0,0,0,1,0,0,1
Low,Healthcare,1,1,10.137.409.960.269.200,38.997.207.136.727.200,1,0,0,0,1,1,0,1,1
Medium,IT,1,1,7.255.363.292.859.030,28.855.181.459.918.600,0,0,1,1,0,1,0,1,1
Medium,Retail,0,0,11.130.909.319.918.200,285.162.431.089.469,0,0,0,0,0,0,1,1,1
Medium,Education,1,1,9.097.757.031.040.660,4.663.610.145.738.550,0,0,1,0,1,1,0,1,1
Medium,Education,0,1,7.211.819.042.038.840,3.754.075.266.776.070,1,1,0,0,1,1,0,1,1
Medium,Education,1,0,10.320.096.857.812.800,4.491.353.765.276.890,1,0,1,0,0,0,0,0,1
Medium,Education,0,0,8.890.793.544.228.570,1.765.095.775.221.140,1,1,0,0,1,0,1,0,1
High,Education,1,1,6.134.881.223.106.580,386.107.176.221.929,1,1,1,0,1,0,0,0,1
Medium,IT,1,1,1.171.760.527.116.100,5.545.176.775.135.690,0,0,0,1,0,1,1,1,1
Medium,IT,1,1,8.518.957.646.172.950,23.216.135.845.359.700,0,0,1,0,1,0,0,1,1
High,Retail,0,1,8.037.592.383.970.980,4.024.789.621.201.820,1,0,0,1,0,0,0,1,1
High,Retail,1,1,6.288.934.660.188.760,12.180.860.336.523.800,0,0,0,0,1,1,0,0,1
Medium,Healthcare,0,1,10.359.076.535.215.400,2.041.806.966.590.230,0,0,1,0,1,0,0,1,1
High,Healthcare,1,1,9.034.550.854.722.610,5.211.491.331.517.070,1,0,0,0,1,1,1,1,1
Medium,Healthcare,1,1,9.258.476.360.590.480,35.360.735.600.305.700,0,1,1,1,0,0,0,0,1
Medium,Education,0,1,6.984.937.312.948.460,6.733.109.298.307.810,0,0,0,0,0,0,0,1,1
High,Healthcare,1,1,9.668.201.143.820.130,4.648.664.665.636.460,1,0,0,0,1,1,0,1,1
Low,IT,1,1,9.823.627.187.141.600,4.795.893.497.333.980,0,0,0,1,1,0,0,1,1
Medium,Healthcare,1,1,6.662.443.522.437.750,2.385.276.925.157.650,0,1,0,1,0,1,1,0,1
Medium,Education,1,0,5.166.019.720.638.010,34.223.419.347.333.200,1,0,0,0,0,1,0,1,1
High,IT,0,0,9.162.746.118.677.840,2.901.045.726.928.580,1,0,0,0,0,0,1,1,1
Low,IT,0,1,48.533.061.007.885.200,24.018.373.906.741.200,0,0,0,0,1,1,0,0,1
Medium,Retail,1,1,8.304.031.555.675.550,4.995.839.689.144.200,0,0,0,0,1,0,1,1,1
Medium,Retail,1,0,7.105.509.790.425.380,5.296.773.798.653.010,1,1,1,1,0,1,0,1,1
Low,Healthcare,1,1,10.437.330.421.577.800,4.598.405.791.251.170,0,0,1,1,0,0,0,0,1
High,Healthcare,0,1,7.214.312.218.465.580,27.578.992.101.610.100,0,0,0,0,1,1,0,1,1
Medium,Healthcare,0,1,10.214.545.944.007.600,4.496.095.052.646.190,0,1,1,1,0,1,0,1,1
Medium,Healthcare,1,1,6.971.581.111.273.940,11.309.823.978.015.100,0,0,0,0,1,1,1,0,1
Medium,IT,1,1,9.999.982.010.119.220,598.451.390.306.206,1,1,0,0,0,1,0,0,1
Medium,Healthcare,0,1,12.120.683.087.673.600,2.052.774.736.543.840,1,1,1,0,0,1,0,0,1
High,Retail,1,1,586.390.572.326.752,23.193.115.263.423.000,0,1,0,0,0,1,0,1,1
High,Retail,1,1,8.584.071.443.461.810,4.172.938.404.355.280,1,1,0,0,1,1,0,0,1
Medium,Education,0,0,1.349.756.483.182.010,4.306.239.340.363.060,1,0,0,1,0,1,0,1,1
Medium,Retail,0,1,8.133.177.653.805.840,3.890.877.102.322.320,0,0,1,1,0,1,0,1,1
Medium,Retail,1,1,8.123.576.540.459.290,2.334.808.088.526.550,0,0,0,0,1,1,0,0,1
Medium,Healthcare,1,0,9.576.997.894.702.030,5.700.021.990.404.930,1,0,0,0,1,1,0,1,1
High,IT,0,1,8.082.161.728.189.500,14.710.761.983.961.200,0,0,0,0,1,1,0,1,1
High,Healthcare,0,1,4.585.548.010.858.890,17.750.965.143.273.300,1,1,0,0,1,1,0,1,1
Low,IT,1,0,10.264.574.749.677.800,3.839.525.842.068.270,1,0,1,0,0,0,0,0,1
Low,IT,0,0,39.941.031.722.696.100,21.036.490.272.334.100,0,0,1,0,0,0,0,1,1
High,Education,0,1,7.166.416.697.723.310,5.833.937.914.413.880,0,0,0,0,1,1,0,1,1
Medium,Education,1,1,10.414.851.498.313.200,22.326.780.468.806.200,0,1,0,0,1,0,0,1,1
Medium,IT,1,1,7.286.915.142.714.420,6.335.540.728.315.460,0,0,0,0,1,0,0,1,1
Medium,Healthcare,1,0,6.612.607.015.071.190,555.268.324.865.736,0,0,1,1,0,1,0,0,1
Medium,Education,0,1,975.852.781.033.312,5.852.583.603.261.370,1,0,0,1,1,1,1,0,1
Medium,IT,1,1,6.297.770.426.331.220,6.830.658.974.429.860,0,0,1,1,0,1,0,1,1
Medium,Healthcare,0,1,5.555.548.560.816.090,4.121.841.886.143.640,1,1,0,0,1,0,0,1,1
Medium,Retail,1,1,8.549.027.974.986.560,24.805.381.062.700.600,0,1,0,0,0,0,0,1,1
Medium,Education,1,1,7.634.153.403.174.810,38.454.881.863.470.300,1,0,1,1,1,1,1,0,1
High,Education,1,1,55.126.537.716.223.100,3.150.001.591.886.550,1,0,0,0,0,0,0,1,1
High,Retail,1,0,927.390.507.998.974,29.362.130.912.294.100,1,1,1,0,0,1,0,0,1
Medium,Education,1,1,8.928.975.211.154.460,4.226.280.155.210.240,0,0,1,0,0,1,0,1,1
Medium,IT,1,1,7.280.489.966.788.730,35.324.436.786.883.800,0,0,0,1,1,0,0,1,1
Low,Education,0,1,7.417.335.987.750.100,2.871.685.473.524.500,0,0,0,0,0,1,0,1,1
Low,Education,1,1,8.940.785.484.018.310,36.318.964.111.191.100,0,0,0,1,0,0,0,1,1
Low,Healthcare,0,0,10.380.722.839.504.100,4.823.467.696.305.550,1,1,1,0,1,0,1,0,1
Low,IT,0,1,743.441.357.978.135,5.434.625.809.889.040,1,0,1,0,1,1,0,1,1
High,IT,1,1,930.937.698.601.629,15.956.141.302.135.100,1,1,1,1,1,1,0,1,1
High,IT,1,1,9.130.400.434.169.190,3.545.198.370.507.180,1,0,0,0,0,1,0,0,1
Low,Education,1,0,9.758.614.585.417.950,37.879.851.917.879.400,1,0,0,0,0,0,0,0,1
Low,Education,1,1,8.078.618.397.486.930,2.226.219.966.658.550,1,0,1,0,0,0,0,0,1
High,Retail,1,1,6.175.348.971.867.280,38.204.414.004.389.500,0,1,1,0,1,0,1,1,1
Medium,Healthcare,1,1,7.075.001.693.600.060,4.221.993.414.310.040,0,0,0,0,0,1,1,1,1
Medium,Retail,1,1,8.685.706.931.563.290,4.778.251.817.921.480,1,0,1,0,1,1,0,1,1
High,Retail,1,1,11.636.928.756.763.100,4.115.737.038.447.500,1,0,1,1,1,0,0,1,1
Medium,IT,0,1,7.031.960.753.607.440,26.785.758.850.036.600,0,0,1,0,1,0,0,1,1
Medium,Education,1,1,9.609.574.887.054.790,701.804.504.135.777,1,0,0,1,1,1,0,0,1
Medium,IT,0,1,734.388.709.864.648,5.243.690.157.432.390,0,1,0,1,1,1,0,0,1
Medium,Education,0,1,8.220.937.511.772.270,48.290.796.169.748,0,0,0,1,0,1,0,1,1
Medium,Education,1,1,11.030.793.498.527.100,5.507.246.885.516.400,0,1,1,1,1,1,0,1,1
Medium,Healthcare,0,1,9.528.585.162.840.860,4.366.913.757.715.710,1,0,0,0,1,1,1,0,1
Medium,IT,1,1,5.517.401.454.518.080,5.929.451.328.282.930,0,0,0,0,0,1,0,1,1
Low,IT,1,1,68.550.499.523.768.100,4.085.307.925.428.640,1,0,1,0,1,1,0,1,1
Medium,Education,1,1,10.512.442.688.882.700,4.002.621.190.411.270,0,1,1,0,1,1,0,1,1
Medium,Education,1,1,8.283.756.085.256.990,49.528.427.181.868.000,1,1,0,0,0,1,0,1,1
Medium,Retail,0,1,57.023.197.607.682.700,6.364.536.319.436.380,0,0,0,1,1,0,0,1,1
Low,Retail,1,1,6.362.095.110.052.550,62.680.729.229.339.600,0,1,1,0,0,1,0,0,1
High,Retail,1,0,9.406.987.045.422.340,4.889.271.397.389.990,0,0,1,1,0,1,0,1,1
Medium,Education,1,1,998.882.056.243.526,4.774.917.787.865.190,0,0,1,0,0,1,0,0,1
High,Healthcare,1,1,8.035.710.602.964.340,50.440.636.166.447.200,0,0,0,0,0,0,0,0,1
High,IT,1,0,12.950.627.601.872.200,5.478.431.370.004.890,1,0,0,1,1,1,0,1,1
Medium,Healthcare,0,1,9.648.304.726.911.270,5.948.097.909.119.860,0,0,1,0,1,0,1,0,1
Medium,IT,1,1,7.513.037.860.734.190,36.451.238.739.942.200,1,0,1,1,1,0,0,0,1
High,Retail,1,0,6.368.587.903.801.310,5.977.091.934.756.080,1,0,0,0,1,0,0,1,1
Medium,Healthcare,1,1,6.050.231.390.721.910,4.514.492.671.106.950,1,0,1,1,0,1,0,1,1
High,Healthcare,0,1,8.670.842.640.960.730,4.976.397.433.749.920,1,0,1,0,0,0,1,1,1
Medium,Retail,1,0,7.022.445.910.173.180,6.072.923.982.300.990,1,1,0,1,0,0,1,0,1
Medium,Retail,1,1,1.134.748.750.796.680,5.120.593.375.136.010,1,0,1,0,0,1,0,1,1
High,Healthcare,1,1,10.932.623.605.835.700,5.373.993.344.729.260,0,0,0,1,1,1,0,1,1
Low,Education,1,1,9.266.133.094.994.450,3.415.872.200.076.360,1,1,0,1,1,1,0,1,1
